underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2016-12-17,VIX,2016-12-17,28,P,0,0,0,0,0,13428,12.7,12434,13,14.24,14.24,9927,12.6,8310,12.9,14.2,14.2,0,1131,
^VIX,2016-12-18,VIX,2016-12-18,29,C,0.05,0.05,0.05,0.05,3,0,0,3078,0.05,14.24,14.24,0,0,1400,0.05,14.2,14.2,0.05,43867,
^VIX,2016-12-19,VIX,2016-12-19,29,P,0,0,0,0,0,13316,13.7,8157,13.9,14.24,14.24,9927,13.6,8487,13.9,14.2,14.2,0,101,
^VIX,2016-12-20,VIX,2016-12-20,30,C,0.05,0.05,0.05,0.05,64,0,0,5372,0.05,14.24,14.24,0,0,3549,0.05,14.2,14.2,0.05,211193,
^VIX,2016-12-21,VIX,2016-12-21,30,P,0,0,0,0,0,13088,14.7,9974,14.9,14.24,14.24,10160,14.6,8971,14.9,14.2,14.2,0,1561,
^VIX,2016-12-22,VIX,2016-12-22,32.5,C,0.05,0.05,0.05,0.05,350,0,0,13192,0.05,14.24,14.24,0,0,11761,0.05,14.2,14.2,0.05,87636,
^VIX,2016-12-23,VIX,2016-12-23,32.5,P,0,0,0,0,0,9933,17.2,10268,17.4,14.24,14.24,9617,17.1,8897,17.4,14.2,14.2,0,393,
^VIX,2016-12-24,VIX,2016-12-24,35,C,0,0,0,0,0,0,0,13968,0.05,14.24,14.24,0,0,12399,0.05,14.2,14.2,0,65232,
^VIX,2016-12-25,VIX,2016-12-25,35,P,0,0,0,0,0,9450,19.7,11986,19.9,14.24,14.24,10150,19.6,9779,19.9,14.2,14.2,0,283,
^VIX,2016-12-26,VIX,2016-12-26,37.5,C,0,0,0,0,0,0,0,15996,0.05,14.24,14.24,0,0,13800,0.05,14.2,14.2,0,33030,
^VIX,2016-12-27,VIX,2016-12-27,37.5,P,0,0,0,0,0,4326,22.2,10091,22.4,14.24,14.24,8602,22.1,1760,22.3,14.2,14.2,0,7,
^VIX,2016-12-28,VIX,2016-12-28,40,C,0,0,0,0,0,0,0,16065,0.05,14.24,14.24,0,0,13810,0.05,14.2,14.2,0,65878,
^VIX,2016-12-29,VIX,2016-12-29,40,P,0,0,0,0,0,3331,24.7,10738,24.9,14.24,14.24,7467,24.6,4024,24.8,14.2,14.2,0,128,
^VIX,2016-12-30,VIX,2016-12-30,42.5,C,0,0,0,0,0,0,0,16803,0.05,14.24,14.24,0,0,14514,0.05,14.2,14.2,0,53311,
^VIX,2016-12-31,VIX,2016-12-31,42.5,P,0,0,0,0,0,2644,27.2,10767,27.4,14.24,14.24,6687,27.1,4804,27.3,14.2,14.2,0,2,
^VIX,2017-01-01,VIX,2017-01-01,45,C,0,0,0,0,0,0,0,16241,0.05,14.24,14.24,0,0,13932,0.05,14.2,14.2,0,20557,
^VIX,2017-01-02,VIX,2017-01-02,45,P,0,0,0,0,0,2527,29.7,10375,29.9,14.24,14.24,6600,29.6,5165,29.8,14.2,14.2,0,103,
^VIX,2017-01-03,VIX,2017-01-03,47.5,C,0,0,0,0,0,0,0,15804,0.05,14.24,14.24,0,0,13483,0.05,14.2,14.2,0,3696,
